cod_produto,produto,valor_venda,custo_produto,lucro,nota_fiscal,email_cliente,data_criacao_pedido,data_venda,estado,tamanho,canal_venda,forma_pagamento
P1029,Camiseta Feminina,155.48,80.73,74.75,NF519294,nnefnm@email.com,2025-09-10,2025-09-13,MG,39,Online,Dinheiro
P1030,Calça Masculina,504.97,262.1,242.87,NF957923,ropqmp@email.com,2025-06-15,2025-06-18,CE,42,Online,Boleto
P1031,Camiseta Feminina,259.29,204.18,55.11,NF603892,njznfj@email.com,2025-05-03,2025-05-07,SC,36,Loja,Cartão
P1032,Tênis Feminino,198.58,117.05,81.53,NF178512,rfjtyt@email.com,2025-02-05,2025-02-06,CE,M,Online,Pix
P1033,Tênis Masculino,455.94,245.97,209.97,NF540325,sihovu@email.com,2025-05-22,2025-05-23,BA,36,Online,Dinheiro
P1034,Calça Masculina,330.48,203.78,126.7,NF133567,icychh@email.com,2026-01-23,2026-01-26,MG,40,Online,Dinheiro
P1035,Tênis Feminino,200.34,154.33,46.01,NF966349,qlopfe@email.com,2026-04-09,2026-04-14,RJ,40,Loja,Boleto
P1036,Tênis Masculino,274.31,155.96,118.35,NF979652,tzezlg@email.com,2026-02-22,2026-02-23,RS,40,Loja,Boleto
P1037,Tênis Masculino,67.65,53.37,14.28,NF735587,dpwkgc@email.com,2026-01-18,2026-01-18,CE,M,Loja,Boleto
P1038,Camiseta Masculina,474.39,254.08,220.31,NF906403,fxvnyv@email.com,2025-05-23,2025-05-27,BA,42,Loja,Pix
P1039,Tênis Feminino,283.69,221.81,61.88,NF614317,eilfyy@email.com,2025-04-19,2025-04-24,BA,40,Loja,Cartão
P1040,Tênis Masculino,173.84,123.02,50.82,NF583209,kthare@email.com,2026-01-05,2026-01-10,CE,37,Loja,Pix
P1041,Tênis Feminino,324.85,163.24,161.61,NF178023,wawsgk@email.com,2025-10-15,2025-10-18,CE,38,Online,Pix
P1042,Tênis Feminino,216.81,169.07,47.74,NF729729,knqmkh@email.com,2026-04-01,2026-04-03,CE,39,Loja,Cartão
P1043,Tênis Masculino,139.59,84.18,55.41,NF771246,wkdnlc@email.com,2025-07-24,2025-07-27,SP,40,Loja,Boleto
P1044,Tênis Feminino,230.7,181.07,49.63,NF296146,xcavae@email.com,2026-02-13,2026-02-18,SP,39,Loja,Boleto
P1045,Camiseta Feminina,433.11,292.72,140.39,NF819701,ehohrq@email.com,2026-04-27,2026-05-01,SP,37,Loja,Pix
P1046,Camiseta Masculina,123.42,93.34,30.08,NF478247,lmjuyb@email.com,2025-04-30,2025-05-05,MG,36,Online,Dinheiro
P1047,Tênis Masculino,449.5,260.3,189.2,NF961171,ohvnze@email.com,2025-12-13,2025-12-13,CE,M,Online,Boleto
P1048,Camiseta Masculina,159.64,132.53,27.11,NF481611,dvwhqv@email.com,2025-12-09,2025-12-11,RJ,P,Online,Pix
P1049,Tênis Feminino,279.27,199.71,79.56,NF986011,ypvwib@email.com,2025-01-10,2025-01-15,PB,G,Loja,Dinheiro
P1050,Tênis Feminino,109.1,76.59,32.51,NF564734,wouahw@email.com,2025-07-13,2025-07-13,CE,G,Online,Dinheiro
P1051,Camiseta Feminina,125.42,70.43,54.99,NF685343,ugdplv@email.com,2025-04-26,2025-04-29,PE,G,Online,Pix
P1052,Calça Masculina,279.35,196.49,82.86,NF525167,kqvvvv@email.com,2026-03-10,2026-03-15,PB,36,Loja,Pix
P1053,Camiseta Feminina,357.26,194.19,163.07,NF867842,itoxcz@email.com,2025-09-15,2025-09-16,CE,39,Loja,Boleto
P1054,Camiseta Feminina,296.91,186.94,109.97,NF850239,nidloj@email.com,2025-04-22,2025-04-26,PR,36,Online,Pix
P1055,Camiseta Masculina,477.21,251.28,225.93,NF355853,squjtm@email.com,2026-02-06,2026-02-07,PR,36,Loja,Dinheiro
P1056,Camiseta Feminina,420.27,249.7,170.57,NF809064,vtuphe@email.com,2025-09-09,2025-09-13,BA,39,Online,Boleto
P1057,Calça Feminina,266.58,164.56,102.02,NF833013,tqmrpz@email.com,2025-01-29,2025-02-03,RJ,37,Online,Cartão
P1058,Camiseta Masculina,379.42,205.04,174.38,NF230230,bggics@email.com,2025-06-14,2025-06-16,MG,G,Loja,Cartão
P1059,Tênis Masculino,533.33,283.93,249.4,NF396965,ttaago@email.com,2026-03-31,2026-04-03,SC,36,Online,Cartão
P1060,Calça Masculina,252.02,142.33,109.69,NF977720,lupncz@email.com,2025-11-21,2025-11-23,PE,M,Online,Pix
P1061,Tênis Masculino,318.93,162.3,156.63,NF668782,kfuhxf@email.com,2025-12-18,2025-12-22,CE,41,Online,Boleto
P1062,Camiseta Feminina,439.26,285.37,153.89,NF968104,jhvpib@email.com,2025-05-23,2025-05-24,MG,38,Loja,Cartão
P1063,Tênis Masculino,326.15,200.6,125.55,NF676704,ssapat@email.com,2025-01-25,2025-01-30,BA,37,Loja,Dinheiro
P1064,Camiseta Feminina,525.32,277.1,248.22,NF488312,ukltxk@email.com,2026-02-16,2026-02-16,RS,M,Online,Dinheiro
P1065,Calça Masculina,171.87,106.65,65.22,NF968266,hrxeki@email.com,2025-10-12,2025-10-12,RS,41,Online,Cartão
P1066,Tênis Feminino,359.89,285.11,74.78,NF897830,rrrzfm@email.com,2025-05-23,2025-05-23,SC,41,Online,Boleto
P1067,Tênis Masculino,295.84,158.31,137.53,NF198972,ypzmhp@email.com,2025-04-05,2025-04-07,MG,41,Loja,Cartão
P1068,Calça Feminina,305.32,213.04,92.28,NF669686,iacxsz@email.com,2025-10-08,2025-10-12,SP,39,Loja,Boleto
P1069,Calça Feminina,339.43,195.76,143.67,NF626363,vbydao@email.com,2025-04-17,2025-04-20,CE,G,Loja,Cartão
P1070,Calça Feminina,511.25,274.37,236.88,NF180649,znoxoq@email.com,2025-10-15,2025-10-15,PE,39,Loja,Boleto
P1071,Calça Feminina,457.07,242.85,214.22,NF849903,txawxt@email.com,2025-01-02,2025-01-03,MG,38,Loja,Dinheiro
P1072,Camiseta Feminina,140.19,113.52,26.67,NF384736,vyntpv@email.com,2025-08-21,2025-08-24,BA,42,Online,Boleto
P1073,Tênis Feminino,161.95,109.49,52.46,NF852797,qxhbeo@email.com,2025-07-13,2025-07-14,PB,41,Online,Cartão
P1074,Calça Masculina,490.68,271.6,219.08,NF967955,ohcnnu@email.com,2025-11-08,2025-11-09,RJ,37,Online,Cartão
P1075,Camiseta Feminina,268.92,145.87,123.05,NF612985,ivopor@email.com,2025-10-27,2025-11-01,PR,42,Online,Pix
P1076,Tênis Feminino,168.67,104.49,64.18,NF703601,dlxwpi@email.com,2025-12-03,2025-12-04,BA,M,Loja,Cartão
P1077,Tênis Masculino,144.83,88.73,56.1,NF609525,dsxexk@email.com,2025-09-20,2025-09-24,PB,G,Online,Boleto
P1078,Tênis Feminino,367.91,285.47,82.44,NF131987,zvrunl@email.com,2026-04-07,2026-04-07,SC,37,Online,Dinheiro
P1079,Tênis Masculino,304.42,190.67,113.75,NF242450,znhqhc@email.com,2025-10-06,2025-10-06,PR,40,Online,Pix
P1080,Tênis Feminino,327.37,164.1,163.27,NF259163,rifkua@email.com,2025-10-13,2025-10-15,SP,G,Loja,Cartão
P1081,Tênis Feminino,147.75,95.35,52.4,NF537396,hcjexw@email.com,2025-11-13,2025-11-17,RJ,41,Online,Dinheiro
P1082,Calça Masculina,208.07,164.47,43.6,NF949291,nepfna@email.com,2025-10-29,2025-10-31,MG,41,Online,Cartão
P1083,Tênis Feminino,469.97,240.57,229.4,NF472805,otveks@email.com,2025-04-28,2025-05-03,SP,36,Online,Dinheiro
P1084,Camiseta Feminina,202.52,146.27,56.25,NF602792,blkhza@email.com,2026-01-25,2026-01-30,CE,P,Online,Boleto
P1085,Calça Masculina,355.77,203.57,152.2,NF766061,dimrqh@email.com,2025-09-17,2025-09-21,PE,38,Loja,Boleto
P1086,Tênis Masculino,166.12,109.86,56.26,NF961574,rxntrh@email.com,2026-02-21,2026-02-21,PB,M,Online,Cartão
P1087,Tênis Masculino,486.42,298.29,188.13,NF424759,zlaodi@email.com,2025-11-13,2025-11-18,PR,42,Loja,Boleto
P1088,Tênis Masculino,318.37,198.87,119.5,NF815207,xhxrtq@email.com,2025-08-13,2025-08-15,RJ,38,Online,Boleto
P1089,Calça Feminina,441.04,265.15,175.89,NF215532,wmswvs@email.com,2025-10-10,2025-10-14,SC,40,Loja,Pix
P1090,Tênis Masculino,153.73,109.1,44.63,NF642777,sqfhmd@email.com,2025-07-05,2025-07-09,PR,38,Loja,Dinheiro
P1091,Camiseta Feminina,190.54,140.17,50.37,NF140657,dzchqt@email.com,2025-01-23,2025-01-23,RJ,M,Loja,Pix
P1092,Calça Feminina,241.14,159.63,81.51,NF892018,jsjmvz@email.com,2025-04-05,2025-04-10,RJ,M,Loja,Dinheiro
P1093,Camiseta Masculina,292.17,179.91,112.26,NF879839,iltjdb@email.com,2026-01-19,2026-01-21,CE,40,Online,Dinheiro
P1094,Camiseta Feminina,127.38,63.87,63.51,NF841745,xeyukm@email.com,2026-02-06,2026-02-10,RJ,37,Online,Boleto
P1095,Tênis Masculino,455.64,273.1,182.54,NF457420,isfntm@email.com,2026-03-21,2026-03-25,RJ,37,Online,Cartão
P1096,Tênis Masculino,101.79,72.73,29.06,NF474127,grefsa@email.com,2025-07-16,2025-07-18,BA,36,Online,Cartão
P1097,Tênis Feminino,74.72,56.81,17.91,NF655134,skoeht@email.com,2026-03-08,2026-03-10,BA,39,Online,Dinheiro
P1098,Tênis Masculino,159.66,105.57,54.09,NF295279,cdbhrb@email.com,2025-03-26,2025-03-29,SC,37,Loja,Boleto
P1099,Camiseta Masculina,220.93,119.88,101.05,NF484087,umtysb@email.com,2025-01-06,2025-01-07,SC,M,Loja,Pix
P1100,Calça Feminina,435.87,291.23,144.64,NF958958,vtiofy@email.com,2025-06-25,2025-06-30,MG,M,Loja,Pix
P1101,Calça Feminina,316.54,250.68,65.86,NF549101,xrpeyc@email.com,2025-05-20,2025-05-20,SP,M,Online,Dinheiro
P1102,Tênis Feminino,420.69,234.68,186.01,NF387099,jntvox@email.com,2025-04-24,2025-04-24,PB,40,Loja,Pix
P1103,Tênis Masculino,173.36,137.5,35.86,NF239169,uvbuch@email.com,2026-03-13,2026-03-13,CE,40,Loja,Cartão
P1104,Tênis Feminino,351.83,189.2,162.63,NF672106,jpqeuq@email.com,2025-06-20,2025-06-25,RJ,37,Online,Boleto
P1105,Camiseta Masculina,429.18,298.72,130.46,NF587021,ycfrdm@email.com,2025-02-19,2025-02-23,BA,P,Online,Dinheiro
P1106,Tênis Masculino,88.83,60.24,28.59,NF190435,jthtdg@email.com,2025-05-25,2025-05-30,PR,39,Loja,Pix
P1107,Calça Feminina,336.92,241.14,95.78,NF805622,betnox@email.com,2026-02-28,2026-03-02,BA,38,Loja,Cartão
P1108,Camiseta Masculina,177.9,131.24,46.66,NF298679,crloll@email.com,2025-01-07,2025-01-10,PE,39,Online,Dinheiro
P1109,Calça Feminina,351.28,252.8,98.48,NF779074,esqcvb@email.com,2025-04-01,2025-04-03,RJ,M,Online,Boleto
P1110,Camiseta Masculina,383.01,283.43,99.58,NF878706,gvapkl@email.com,2025-10-20,2025-10-20,RJ,37,Loja,Dinheiro
P1111,Calça Feminina,486.71,291.92,194.79,NF743454,sdzkwz@email.com,2025-09-29,2025-10-04,PE,38,Online,Cartão
P1112,Calça Feminina,157.31,113.47,43.84,NF325657,nberav@email.com,2025-07-28,2025-07-30,MG,41,Online,Cartão
P1113,Camiseta Feminina,403.7,266.46,137.24,NF318761,hibbus@email.com,2026-02-07,2026-02-12,SP,36,Online,Dinheiro
P1114,Camiseta Masculina,96.11,77.5,18.61,NF411462,caljac@email.com,2025-03-27,2025-03-31,RS,40,Loja,Dinheiro
P1115,Tênis Feminino,278.25,140.69,137.56,NF169648,glrrvj@email.com,2026-04-29,2026-04-29,RS,40,Loja,Cartão
P1116,Camiseta Feminina,348.84,267.26,81.58,NF646055,ivcljy@email.com,2025-02-09,2025-02-14,MG,39,Online,Dinheiro
P1117,Camiseta Feminina,508.52,277.15,231.37,NF600016,cinbcp@email.com,2026-04-13,2026-04-14,SC,42,Loja,Cartão
P1118,Calça Feminina,303.98,181.16,122.82,NF298952,cejhjn@email.com,2025-11-28,2025-11-29,RS,38,Online,Pix
P1119,Camiseta Masculina,311.85,158.87,152.98,NF388028,cdqdsg@email.com,2025-12-16,2025-12-21,PR,37,Loja,Pix
P1120,Camiseta Feminina,341.92,252.53,89.39,NF174947,bznjim@email.com,2025-11-18,2025-11-20,PR,M,Loja,Pix
P1121,Tênis Feminino,524.14,264.89,259.25,NF753512,jqysca@email.com,2025-07-24,2025-07-27,PB,M,Loja,Dinheiro
P1122,Tênis Feminino,119.85,84.69,35.16,NF991176,zafbgt@email.com,2025-01-13,2025-01-14,SP,39,Online,Dinheiro
P1123,Tênis Masculino,161.53,109.74,51.79,NF394122,umhzxq@email.com,2025-02-05,2025-02-05,BA,40,Loja,Cartão
P1124,Camiseta Masculina,159.64,97.01,62.63,NF638291,hznapb@email.com,2026-04-16,2026-04-16,SP,42,Online,Pix
P1125,Calça Masculina,175.86,129.76,46.1,NF146125,rqtetl@email.com,2025-11-06,2025-11-08,SC,36,Online,Pix
P1126,Camiseta Masculina,110.86,60.85,50.01,NF430362,tnaguw@email.com,2025-01-03,2025-01-05,PR,41,Loja,Pix
P1127,Calça Masculina,194.49,148.25,46.24,NF801424,ttjykt@email.com,2025-11-15,2025-11-17,PE,38,Loja,Cartão
P1128,Tênis Feminino,599.03,299.57,299.46,NF206668,vspnsy@email.com,2026-02-08,2026-02-08,SC,P,Online,Cartão
P1129,Tênis Feminino,176.48,132.85,43.63,NF329402,koofri@email.com,2025-03-26,2025-03-26,BA,42,Loja,Cartão
P1130,Tênis Masculino,179.58,149.36,30.22,NF988164,veuvve@email.com,2025-11-02,2025-11-07,RS,41,Online,Pix
P1131,Calça Feminina,367.5,193.11,174.39,NF838594,qtvwxi@email.com,2026-03-28,2026-03-29,SP,40,Loja,Boleto
P1132,Camiseta Feminina,99.38,73.95,25.43,NF569329,ltwesc@email.com,2025-06-30,2025-07-04,SP,40,Loja,Dinheiro
P1133,Calça Masculina,151.71,93.04,58.67,NF467602,qleksi@email.com,2025-07-20,2025-07-21,RJ,39,Online,Cartão
P1134,Calça Feminina,360.51,195.17,165.34,NF961007,gjtjgh@email.com,2025-05-11,2025-05-16,SP,M,Online,Pix
P1135,Tênis Feminino,498.89,283.51,215.38,NF694751,cvkxak@email.com,2025-06-19,2025-06-23,MG,36,Loja,Boleto
P1136,Tênis Masculino,345.15,244.36,100.79,NF931606,skjaal@email.com,2026-02-02,2026-02-03,SP,39,Loja,Dinheiro
P1137,Calça Masculina,326.65,227.07,99.58,NF855315,rsjbcz@email.com,2025-04-11,2025-04-11,SP,39,Online,Cartão
P1138,Tênis Masculino,160.84,95.16,65.68,NF949519,dnhzlo@email.com,2026-03-24,2026-03-28,RS,36,Loja,Dinheiro
P1139,Camiseta Masculina,402.9,245.09,157.81,NF933915,byurwk@email.com,2025-04-27,2025-04-30,SP,42,Online,Dinheiro
P1140,Camiseta Masculina,266.13,148.18,117.95,NF494306,nhaurp@email.com,2025-01-26,2025-01-29,RJ,42,Online,Dinheiro
P1141,Camiseta Feminina,509.93,262.66,247.27,NF278562,innkwn@email.com,2025-03-22,2025-03-25,SC,39,Online,Pix
P1142,Calça Feminina,311.38,163.84,147.54,NF234113,nbxfvx@email.com,2025-05-15,2025-05-18,RS,37,Loja,Dinheiro
P1143,Tênis Feminino,184.87,110.76,74.11,NF857020,auckpl@email.com,2026-02-06,2026-02-07,PE,M,Loja,Boleto
P1144,Tênis Masculino,196.66,99.58,97.08,NF159253,wrigca@email.com,2026-02-24,2026-02-24,PB,40,Loja,Cartão
P1145,Camiseta Masculina,366.78,195.88,170.9,NF870986,zkkwfw@email.com,2025-02-11,2025-02-13,RS,42,Online,Pix
P1146,Calça Feminina,248.97,128.68,120.29,NF361105,gflbkk@email.com,2025-06-12,2025-06-13,RJ,40,Online,Dinheiro
P1147,Camiseta Feminina,119.04,89.08,29.96,NF841110,ansmwr@email.com,2025-03-14,2025-03-15,PB,37,Loja,Boleto
P1148,Calça Masculina,95.23,75.37,19.86,NF799771,zreeei@email.com,2025-12-21,2025-12-26,SC,M,Online,Boleto
P1149,Calça Feminina,205.57,108.08,97.49,NF388767,vonzux@email.com,2026-02-09,2026-02-13,PB,38,Loja,Pix
P1150,Tênis Masculino,229.17,162.44,66.73,NF936269,ubjnlk@email.com,2026-04-04,2026-04-08,MG,37,Online,Cartão
P1151,Calça Feminina,93.75,56.85,36.9,NF104319,ofxvdv@email.com,2026-01-22,2026-01-26,CE,40,Loja,Cartão
P1152,Tênis Masculino,383.68,197.24,186.44,NF126494,zarkvn@email.com,2025-02-11,2025-02-15,PE,36,Online,Cartão
P1153,Camiseta Feminina,445.07,286.65,158.42,NF971567,sckabw@email.com,2025-09-06,2025-09-07,MG,40,Loja,Pix
P1154,Camiseta Masculina,223.11,158.04,65.07,NF105759,ihqncp@email.com,2025-06-21,2025-06-24,BA,40,Online,Boleto
P1155,Tênis Masculino,297.11,180.79,116.32,NF528255,lcmfzo@email.com,2025-05-10,2025-05-15,PR,41,Loja,Pix
P1156,Camiseta Masculina,372.88,211.43,161.45,NF747032,eqkelm@email.com,2025-09-16,2025-09-17,BA,42,Online,Boleto
P1157,Camiseta Feminina,381.27,233.01,148.26,NF940847,xrlzlk@email.com,2025-10-17,2025-10-18,PB,37,Loja,Pix
P1158,Calça Masculina,183.38,128.86,54.52,NF549582,zfchyt@email.com,2026-03-22,2026-03-23,PB,36,Loja,Dinheiro
P1159,Calça Feminina,472.23,299.31,172.92,NF439542,dfithb@email.com,2026-01-04,2026-01-08,PR,M,Online,Pix
P1160,Calça Masculina,151.64,110.07,41.57,NF951886,zanrcn@email.com,2026-03-25,2026-03-30,SP,40,Online,Boleto
P1161,Camiseta Feminina,263.26,168.96,94.3,NF460660,wvvcbh@email.com,2026-01-24,2026-01-25,RS,38,Online,Dinheiro
P1162,Camiseta Feminina,514.59,272.26,242.33,NF642355,imqspu@email.com,2025-08-30,2025-08-31,RJ,38,Loja,Pix
P1163,Tênis Feminino,249.3,167.56,81.74,NF884478,sxucji@email.com,2026-01-26,2026-01-28,SP,36,Loja,Boleto
P1164,Calça Feminina,166.24,86.87,79.37,NF665764,exhela@email.com,2025-05-18,2025-05-23,SC,40,Loja,Boleto
P1165,Calça Feminina,216.1,160.45,55.65,NF321637,eniobl@email.com,2025-06-25,2025-06-26,PB,40,Online,Pix
P1166,Tênis Masculino,110.83,87.95,22.88,NF329645,dqsbtk@email.com,2026-02-21,2026-02-21,CE,37,Loja,Cartão
P1167,Camiseta Feminina,313.13,159.72,153.41,NF521251,mjvoxa@email.com,2025-12-08,2025-12-08,PE,37,Online,Pix
P1168,Tênis Masculino,386.05,259.21,126.84,NF517835,nuryqp@email.com,2025-01-02,2025-01-04,RJ,41,Loja,Dinheiro
P1169,Camiseta Feminina,421.62,252.92,168.7,NF395484,ejrdmo@email.com,2026-01-12,2026-01-13,SP,P,Online,Boleto
P1170,Calça Feminina,565.3,285.93,279.37,NF341235,odpida@email.com,2026-04-14,2026-04-16,CE,P,Online,Cartão
P1171,Camiseta Masculina,135.64,109.47,26.17,NF429593,wynple@email.com,2026-01-20,2026-01-24,BA,40,Online,Dinheiro
P1172,Camiseta Feminina,315.72,235.14,80.58,NF376709,acfxpv@email.com,2025-02-24,2025-02-25,RS,40,Online,Cartão
P1173,Calça Masculina,409.97,275.73,134.24,NF871750,pbqpqw@email.com,2026-02-17,2026-02-22,PB,M,Loja,Cartão
P1174,Camiseta Masculina,178.65,113.31,65.34,NF680052,efybeo@email.com,2026-03-26,2026-03-29,MG,36,Online,Pix
P1175,Camiseta Masculina,441.09,234.1,206.99,NF415574,zwuyyn@email.com,2026-03-08,2026-03-08,RS,P,Online,Pix
P1176,Camiseta Feminina,365.79,282.41,83.38,NF610331,rgrpnt@email.com,2025-07-07,2025-07-07,CE,42,Loja,Cartão
P1177,Camiseta Feminina,176.01,108.1,67.91,NF793986,oeyagi@email.com,2025-07-16,2025-07-20,MG,39,Online,Dinheiro
P1178,Camiseta Feminina,315.2,228.84,86.36,NF223212,tobxci@email.com,2025-12-30,2026-01-03,BA,42,Loja,Dinheiro
P1179,Calça Feminina,308.49,171.81,136.68,NF651617,uzfesb@email.com,2025-04-16,2025-04-16,RS,36,Loja,Pix
P1180,Tênis Feminino,275.44,170.87,104.57,NF325616,vmqlap@email.com,2025-03-23,2025-03-24,RJ,M,Online,Boleto
P1181,Calça Masculina,78.92,61.88,17.04,NF818791,vkvmeu@email.com,2025-01-28,2025-01-31,RJ,G,Online,Cartão
P1182,Camiseta Feminina,309.24,201.71,107.53,NF448404,vjdmst@email.com,2025-12-19,2025-12-21,PR,M,Loja,Cartão
P1183,Tênis Feminino,309.83,203.88,105.95,NF614745,jfmizl@email.com,2025-11-26,2025-12-01,PE,41,Online,Pix
P1184,Tênis Masculino,66.55,53.7,12.85,NF133992,grmuzf@email.com,2025-07-06,2025-07-08,PR,40,Online,Cartão
P1185,Calça Masculina,190.65,99.32,91.33,NF370408,fghevq@email.com,2025-06-01,2025-06-05,SP,P,Loja,Boleto
P1186,Camiseta Masculina,543.2,291.63,251.57,NF855458,zjehzt@email.com,2025-10-12,2025-10-16,SC,40,Online,Boleto
P1187,Tênis Feminino,223.31,163.9,59.41,NF877249,cokkhm@email.com,2025-02-03,2025-02-07,PR,37,Loja,Pix
P1188,Calça Feminina,78.31,56.83,21.48,NF831196,mqfiak@email.com,2025-09-17,2025-09-20,CE,P,Loja,Pix
P1189,Calça Masculina,419.13,239.38,179.75,NF122941,eduadj@email.com,2025-12-02,2025-12-04,CE,P,Online,Dinheiro
P1190,Tênis Masculino,281.72,194.19,87.53,NF663743,jlgyqn@email.com,2025-05-27,2025-06-01,CE,G,Loja,Dinheiro
P1191,Calça Masculina,253.76,155.78,97.98,NF471071,qnzxcg@email.com,2025-09-26,2025-10-01,RS,38,Online,Pix
P1192,Calça Feminina,441.46,257.56,183.9,NF157210,jpedkh@email.com,2025-10-13,2025-10-16,BA,36,Loja,Dinheiro
P1193,Calça Masculina,400.97,272.29,128.68,NF264660,sdlnlb@email.com,2025-05-06,2025-05-08,PE,37,Loja,Dinheiro
P1194,Tênis Masculino,272.82,137.06,135.76,NF972972,ybgvej@email.com,2025-03-10,2025-03-13,PB,G,Loja,Pix
P1195,Tênis Feminino,113.86,64.8,49.06,NF336438,sxztqw@email.com,2025-10-16,2025-10-19,PE,39,Online,Boleto
P1196,Tênis Feminino,530.67,299.05,231.62,NF405701,tmynix@email.com,2026-04-10,2026-04-10,SC,G,Loja,Cartão
P1197,Calça Feminina,122.07,83.64,38.43,NF913670,ndfuob@email.com,2025-07-22,2025-07-26,PE,36,Loja,Cartão
P1198,Camiseta Feminina,108.4,55.81,52.59,NF700501,zzhzfr@email.com,2025-04-05,2025-04-10,CE,P,Online,Cartão
P1199,Tênis Feminino,422.61,264.87,157.74,NF344317,zwpxjd@email.com,2025-06-17,2025-06-18,PB,37,Online,Dinheiro
P1200,Tênis Feminino,386.71,197.96,188.75,NF915154,jamkvv@email.com,2025-08-23,2025-08-28,BA,M,Online,Dinheiro
P1201,Camiseta Masculina,297.66,150.05,147.61,NF904779,jjmqwh@email.com,2025-01-26,2025-01-31,PB,36,Loja,Dinheiro
P1202,Tênis Masculino,244.5,143.07,101.43,NF419784,dwedsv@email.com,2026-03-04,2026-03-08,MG,41,Online,Pix
P1203,Camiseta Feminina,337.34,230.55,106.79,NF965113,eouaja@email.com,2025-09-09,2025-09-10,PB,39,Online,Dinheiro
