cod_produto,produto,valor_venda,custo_produto,lucro,nota_fiscal,email_cliente,data_criacao_pedido,data_venda,estado,tamanho,canal_venda,forma_pagamento,quantidade
1041,Regata Esportiva,339.04,160.59,178.45,50041,cliente41@email.com,2026-03-21,2026-03-22,PE,41,Loja,Cartao,1
1042,Tenis Corrida,366.0,247.59,118.41,50042,cliente42@email.com,2026-03-04,2026-03-06,CE,43,Online,Pix,3
1043,Tenis Casual,174.39,72.67,101.72,50043,cliente43@email.com,2026-02-06,2026-02-07,GO,GG,Loja,Cartao,3
1044,Bermuda,183.39,113.94,69.45,50044,cliente44@email.com,2026-02-09,2026-02-13,SC,43,Loja,Pix,2
1045,Camiseta Basica,158.6,103.98,54.62,50045,cliente45@email.com,2026-03-27,2026-04-01,RJ,41,Loja,Cartao,2
1046,Calca Jeans,348.32,225.95,122.37,50046,cliente46@email.com,2026-04-30,2026-05-02,RJ,P,Online,Cartao,4
1047,Calca Jeans,380.58,155.96,224.62,50047,cliente47@email.com,2026-01-01,2026-01-02,CE,M,Loja,Boleto,5
1048,Tenis Casual,73.14,47.24,25.9,50048,cliente48@email.com,2026-04-10,2026-04-10,SC,GG,Online,Boleto,4
1049,Camiseta Basica,325.85,210.19,115.66,50049,cliente49@email.com,2026-01-22,2026-01-26,PR,41,Online,Cartao,4
1050,Tenis Casual,86.66,51.94,34.72,50050,cliente50@email.com,2026-01-27,2026-01-29,PR,41,Loja,Pix,3
1051,Camiseta Basica,187.73,91.36,96.37,50051,cliente51@email.com,2026-01-02,2026-01-02,CE,41,Online,Boleto,1
1052,Bermuda,83.33,51.0,32.33,50052,cliente52@email.com,2026-04-18,2026-04-22,PR,GG,Loja,Cartao,1
1053,Calca Jeans,151.57,83.42,68.15,50053,cliente53@email.com,2026-04-02,2026-04-03,PR,M,Loja,Cartao,4
1054,Tenis Esportivo,349.99,203.8,146.19,50054,cliente54@email.com,2026-02-15,2026-02-19,RS,M,Loja,Boleto,5
1055,Blusa Moletom,273.56,134.41,139.15,50055,cliente55@email.com,2026-04-16,2026-04-17,BA,43,Online,Cartao,1
1056,Calca Jeans,149.0,72.77,76.23,50056,cliente56@email.com,2026-03-17,2026-03-21,SC,M,Online,Boleto,5
1057,Camiseta Basica,233.89,119.53,114.36,50057,cliente57@email.com,2026-01-23,2026-01-28,SP,40,Loja,Cartao,5
1058,Camiseta Basica,273.06,152.89,120.17,50058,cliente58@email.com,2026-01-14,2026-01-19,BA,GG,Online,Pix,5
1059,Camiseta Basica,374.15,256.17,117.98,50059,cliente59@email.com,2026-04-22,2026-04-22,GO,P,Online,Pix,2
1060,Tenis Corrida,162.04,83.96,78.08,50060,cliente60@email.com,2026-01-22,2026-01-23,RS,41,Online,Cartao,2
1061,Calca Jeans,70.16,35.05,35.11,50061,cliente61@email.com,2026-01-15,2026-01-20,RJ,40,Online,Cartao,5
1062,Calca Jeans,147.5,98.78,48.72,50062,cliente62@email.com,2026-03-18,2026-03-21,CE,39,Loja,Cartao,5
1063,Camiseta Basica,365.13,184.54,180.59,50063,cliente63@email.com,2026-04-29,2026-05-04,MG,38,Loja,Boleto,4
1064,Regata Esportiva,214.62,108.24,106.38,50064,cliente64@email.com,2026-04-14,2026-04-18,RS,41,Loja,Boleto,2
1065,Tenis Casual,375.41,235.21,140.2,50065,cliente65@email.com,2026-04-26,2026-05-01,GO,39,Online,Boleto,3
1066,Tenis Casual,205.03,87.5,117.53,50066,cliente66@email.com,2026-02-27,2026-03-01,BA,P,Loja,Boleto,1
1067,Tenis Esportivo,53.01,25.57,27.44,50067,cliente67@email.com,2026-01-10,2026-01-15,SP,41,Loja,Boleto,1
1068,Blusa Moletom,60.1,26.39,33.71,50068,cliente68@email.com,2026-01-28,2026-01-29,SC,M,Online,Cartao,1
1069,Tenis Corrida,243.83,166.74,77.09,50069,cliente69@email.com,2026-04-29,2026-04-30,PR,38,Loja,Boleto,4
1070,Tenis Esportivo,211.02,113.66,97.36,50070,cliente70@email.com,2026-05-01,2026-05-04,CE,43,Loja,Boleto,4
1071,Calca Jeans,148.72,89.24,59.48,50071,cliente71@email.com,2026-02-04,2026-02-07,CE,M,Loja,Cartao,2
1072,Calca Jeans,275.02,143.92,131.1,50072,cliente72@email.com,2026-01-04,2026-01-09,CE,41,Online,Boleto,2
1073,Camiseta Basica,221.56,109.77,111.79,50073,cliente73@email.com,2026-02-08,2026-02-09,PR,41,Online,Pix,3
1074,Bermuda,50.78,28.4,22.38,50074,cliente74@email.com,2026-01-06,2026-01-10,CE,43,Online,Pix,2
1075,Blusa Moletom,62.58,39.06,23.52,50075,cliente75@email.com,2026-03-04,2026-03-08,BA,43,Online,Pix,5
1076,Regata Esportiva,229.81,120.5,109.31,50076,cliente76@email.com,2026-04-29,2026-05-04,RJ,P,Loja,Pix,3
1077,Blusa Moletom,114.18,64.28,49.9,50077,cliente77@email.com,2026-01-19,2026-01-19,RS,M,Online,Pix,2
1078,Blusa Moletom,302.95,198.0,104.95,50078,cliente78@email.com,2026-04-12,2026-04-15,PR,P,Loja,Boleto,5
1079,Regata Esportiva,305.35,163.09,142.26,50079,cliente79@email.com,2026-03-26,2026-03-27,PR,G,Loja,Cartao,2
1080,Bermuda,65.32,33.68,31.64,50080,cliente80@email.com,2026-03-09,2026-03-12,PR,43,Loja,Pix,1
1081,Tenis Casual,232.81,134.2,98.61,50081,cliente81@email.com,2026-03-31,2026-04-04,CE,41,Loja,Cartao,1
1082,Blusa Moletom,301.03,192.0,109.03,50082,cliente82@email.com,2026-04-09,2026-04-12,CE,38,Online,Boleto,1
1083,Regata Esportiva,269.02,179.3,89.72,50083,cliente83@email.com,2026-01-23,2026-01-25,RS,43,Online,Pix,1
1084,Regata Esportiva,87.16,38.78,48.38,50084,cliente84@email.com,2026-03-12,2026-03-17,CE,G,Loja,Cartao,2
1085,Blusa Moletom,246.6,113.18,133.42,50085,cliente85@email.com,2026-01-24,2026-01-29,RJ,43,Loja,Boleto,3
1086,Regata Esportiva,53.97,22.03,31.94,50086,cliente86@email.com,2026-02-09,2026-02-12,GO,39,Online,Boleto,3
1087,Tenis Casual,50.75,25.57,25.18,50087,cliente87@email.com,2026-03-09,2026-03-12,SC,40,Online,Boleto,5
1088,Blusa Moletom,113.37,66.13,47.24,50088,cliente88@email.com,2026-01-19,2026-01-23,CE,P,Online,Cartao,3
1089,Regata Esportiva,317.94,136.76,181.18,50089,cliente89@email.com,2026-04-30,2026-04-30,GO,39,Online,Pix,2
1090,Tenis Corrida,360.35,194.91,165.44,50090,cliente90@email.com,2026-03-10,2026-03-15,GO,39,Loja,Pix,3
1091,Blusa Moletom,82.79,56.2,26.59,50091,cliente91@email.com,2026-04-27,2026-05-02,PE,GG,Loja,Cartao,1
1092,Tenis Esportivo,92.71,55.92,36.79,50092,cliente92@email.com,2026-01-14,2026-01-19,RS,GG,Online,Boleto,5
1093,Bermuda,70.88,42.06,28.82,50093,cliente93@email.com,2026-03-16,2026-03-16,SC,43,Online,Cartao,3
1094,Camiseta Basica,172.12,116.68,55.44,50094,cliente94@email.com,2026-02-14,2026-02-18,SP,38,Loja,Cartao,4
1095,Bermuda,77.05,43.78,33.27,50095,cliente95@email.com,2026-02-17,2026-02-22,GO,43,Loja,Pix,5
1096,Tenis Corrida,282.55,142.48,140.07,50096,cliente96@email.com,2026-03-17,2026-03-20,BA,40,Loja,Boleto,3
1097,Tenis Corrida,225.82,105.29,120.53,50097,cliente97@email.com,2026-03-27,2026-03-29,MG,41,Online,Boleto,5
1098,Tenis Esportivo,81.34,54.63,26.71,50098,cliente98@email.com,2026-01-28,2026-01-30,GO,39,Loja,Cartao,1
1099,Tenis Esportivo,292.44,142.34,150.1,50099,cliente99@email.com,2026-04-12,2026-04-13,SP,41,Online,Pix,5
1100,Camiseta Basica,60.45,27.38,33.07,50100,cliente100@email.com,2026-02-02,2026-02-02,MG,42,Online,Cartao,2
1101,Bermuda,188.32,94.88,93.44,50101,cliente101@email.com,2026-01-18,2026-01-20,PE,M,Online,Cartao,5
1102,Bermuda,358.73,186.92,171.81,50102,cliente102@email.com,2026-01-09,2026-01-14,BA,G,Loja,Pix,2
1103,Camiseta Basica,233.17,93.83,139.34,50103,cliente103@email.com,2026-03-09,2026-03-14,MG,43,Loja,Pix,1
1104,Tenis Corrida,386.56,197.47,189.09,50104,cliente104@email.com,2026-03-19,2026-03-21,CE,M,Online,Cartao,5
1105,Calca Jeans,291.78,166.49,125.29,50105,cliente105@email.com,2026-03-19,2026-03-19,RJ,41,Online,Cartao,4
1106,Tenis Esportivo,77.88,49.94,27.94,50106,cliente106@email.com,2026-04-25,2026-04-28,GO,M,Online,Boleto,3
1107,Tenis Corrida,213.41,110.71,102.7,50107,cliente107@email.com,2026-04-09,2026-04-14,GO,38,Loja,Cartao,3
1108,Tenis Corrida,108.22,51.83,56.39,50108,cliente108@email.com,2026-03-08,2026-03-11,RJ,39,Online,Pix,3
1109,Blusa Moletom,308.4,169.88,138.52,50109,cliente109@email.com,2026-01-06,2026-01-08,BA,43,Loja,Cartao,5
1110,Regata Esportiva,291.3,135.99,155.31,50110,cliente110@email.com,2026-02-23,2026-02-27,BA,43,Loja,Cartao,3
1111,Tenis Esportivo,109.27,65.67,43.6,50111,cliente111@email.com,2026-03-03,2026-03-03,PR,GG,Online,Pix,3
1112,Regata Esportiva,259.39,106.71,152.68,50112,cliente112@email.com,2026-04-03,2026-04-05,BA,M,Loja,Pix,1
1113,Regata Esportiva,366.31,193.35,172.96,50113,cliente113@email.com,2026-04-26,2026-04-30,PR,38,Online,Boleto,5
1114,Tenis Esportivo,363.06,196.51,166.55,50114,cliente114@email.com,2026-03-15,2026-03-18,MG,42,Loja,Pix,4
1115,Tenis Corrida,240.66,118.23,122.43,50115,cliente115@email.com,2026-01-22,2026-01-22,CE,GG,Online,Cartao,2
1116,Bermuda,166.56,115.35,51.21,50116,cliente116@email.com,2026-01-09,2026-01-12,GO,P,Loja,Pix,2
1117,Calca Jeans,319.04,170.41,148.63,50117,cliente117@email.com,2026-01-09,2026-01-09,RS,G,Online,Cartao,5
1118,Tenis Corrida,96.8,44.1,52.7,50118,cliente118@email.com,2026-04-06,2026-04-07,GO,39,Loja,Boleto,5
1119,Tenis Esportivo,54.22,21.71,32.51,50119,cliente119@email.com,2026-02-15,2026-02-20,CE,42,Online,Boleto,5
1120,Tenis Esportivo,134.9,89.3,45.6,50120,cliente120@email.com,2026-02-21,2026-02-24,GO,39,Online,Pix,4
1121,Tenis Casual,331.12,165.22,165.9,50121,cliente121@email.com,2026-01-07,2026-01-07,RS,G,Online,Boleto,2
1122,Regata Esportiva,307.03,187.66,119.37,50122,cliente122@email.com,2026-04-11,2026-04-13,PE,38,Online,Pix,2
1123,Tenis Casual,223.07,117.41,105.66,50123,cliente123@email.com,2026-02-01,2026-02-02,PR,43,Loja,Boleto,3
1124,Blusa Moletom,315.13,197.46,117.67,50124,cliente124@email.com,2026-01-01,2026-01-06,SC,40,Loja,Pix,4
1125,Tenis Corrida,247.96,166.43,81.53,50125,cliente125@email.com,2026-04-26,2026-04-29,PR,M,Loja,Cartao,4
1126,Tenis Corrida,277.04,153.51,123.53,50126,cliente126@email.com,2026-04-28,2026-04-30,SC,GG,Loja,Boleto,1
1127,Bermuda,285.75,164.79,120.96,50127,cliente127@email.com,2026-03-08,2026-03-13,SC,GG,Online,Pix,3
1128,Blusa Moletom,244.17,122.94,121.23,50128,cliente128@email.com,2026-02-16,2026-02-17,PE,P,Loja,Pix,4
1129,Calca Jeans,264.82,173.12,91.7,50129,cliente129@email.com,2026-03-25,2026-03-27,MG,42,Online,Cartao,2
1130,Tenis Esportivo,88.53,46.52,42.01,50130,cliente130@email.com,2026-04-29,2026-05-03,PE,42,Loja,Pix,2
1131,Bermuda,121.59,67.29,54.3,50131,cliente131@email.com,2026-03-21,2026-03-26,GO,M,Online,Pix,5
1132,Blusa Moletom,184.37,107.24,77.13,50132,cliente132@email.com,2026-03-18,2026-03-18,CE,43,Loja,Boleto,5
1133,Camiseta Basica,152.98,90.04,62.94,50133,cliente133@email.com,2026-02-27,2026-03-03,PR,39,Loja,Pix,5
1134,Tenis Casual,236.15,140.48,95.67,50134,cliente134@email.com,2026-01-30,2026-01-30,SP,GG,Loja,Cartao,5
1135,Tenis Corrida,136.28,72.49,63.79,50135,cliente135@email.com,2026-02-01,2026-02-01,BA,GG,Loja,Cartao,2
1136,Regata Esportiva,186.94,91.01,95.93,50136,cliente136@email.com,2026-03-15,2026-03-17,RJ,41,Online,Pix,3
1137,Blusa Moletom,74.41,51.9,22.51,50137,cliente137@email.com,2026-01-12,2026-01-15,MG,GG,Loja,Pix,2
1138,Tenis Esportivo,255.26,129.51,125.75,50138,cliente138@email.com,2026-03-28,2026-03-29,PE,G,Loja,Boleto,5
1139,Bermuda,200.71,80.58,120.13,50139,cliente139@email.com,2026-04-23,2026-04-26,BA,41,Online,Pix,1
1140,Bermuda,301.33,205.68,95.65,50140,cliente140@email.com,2026-02-05,2026-02-05,GO,P,Online,Pix,1
1141,Calca Jeans,158.41,92.2,66.21,50141,cliente141@email.com,2026-03-24,2026-03-26,SP,GG,Loja,Boleto,4
1142,Tenis Corrida,370.63,171.66,198.97,50142,cliente142@email.com,2026-01-09,2026-01-13,RS,38,Loja,Cartao,5
1143,Blusa Moletom,276.86,172.11,104.75,50143,cliente143@email.com,2026-02-21,2026-02-25,SC,G,Online,Cartao,2
1144,Bermuda,342.48,143.2,199.28,50144,cliente144@email.com,2026-01-08,2026-01-12,MG,M,Loja,Boleto,4
1145,Tenis Esportivo,157.66,99.88,57.78,50145,cliente145@email.com,2026-04-22,2026-04-26,PR,43,Online,Boleto,5
1146,Blusa Moletom,302.37,198.3,104.07,50146,cliente146@email.com,2026-04-16,2026-04-17,CE,P,Online,Pix,4
1147,Tenis Corrida,67.11,46.84,20.27,50147,cliente147@email.com,2026-01-26,2026-01-27,BA,40,Loja,Cartao,1
1148,Tenis Esportivo,117.61,61.8,55.81,50148,cliente148@email.com,2026-01-28,2026-01-31,SP,43,Loja,Boleto,4
1149,Tenis Corrida,117.94,67.72,50.22,50149,cliente149@email.com,2026-01-22,2026-01-24,SC,41,Loja,Boleto,1
1150,Regata Esportiva,128.55,80.35,48.2,50150,cliente150@email.com,2026-03-31,2026-04-05,BA,41,Loja,Cartao,5
1151,Regata Esportiva,353.36,215.69,137.67,50151,cliente151@email.com,2026-02-12,2026-02-14,RJ,42,Online,Pix,1
1152,Tenis Corrida,157.36,110.11,47.25,50152,cliente152@email.com,2026-03-25,2026-03-27,SC,M,Loja,Cartao,3
1153,Tenis Esportivo,98.63,66.5,32.13,50153,cliente153@email.com,2026-03-21,2026-03-21,GO,GG,Loja,Cartao,5
1154,Tenis Esportivo,388.57,270.65,117.92,50154,cliente154@email.com,2026-04-02,2026-04-02,PE,GG,Online,Cartao,4
1155,Tenis Corrida,295.08,121.68,173.4,50155,cliente155@email.com,2026-03-31,2026-04-05,CE,43,Loja,Boleto,2
1156,Calca Jeans,299.63,154.59,145.04,50156,cliente156@email.com,2026-01-27,2026-01-29,PE,40,Loja,Boleto,1
1157,Blusa Moletom,153.34,70.88,82.46,50157,cliente157@email.com,2026-02-22,2026-02-25,RS,41,Loja,Cartao,5
1158,Camiseta Basica,333.82,133.87,199.95,50158,cliente158@email.com,2026-04-10,2026-04-11,BA,38,Online,Boleto,1
1159,Camiseta Basica,374.05,245.31,128.74,50159,cliente159@email.com,2026-05-01,2026-05-06,PR,GG,Loja,Pix,5
1160,Camiseta Basica,175.39,87.45,87.94,50160,cliente160@email.com,2026-04-21,2026-04-25,CE,40,Loja,Cartao,3
1161,Regata Esportiva,178.28,78.35,99.93,50161,cliente161@email.com,2026-01-17,2026-01-17,MG,39,Loja,Boleto,1
1162,Blusa Moletom,151.1,72.79,78.31,50162,cliente162@email.com,2026-02-25,2026-02-27,GO,41,Online,Boleto,4
1163,Bermuda,169.24,70.67,98.57,50163,cliente163@email.com,2026-02-21,2026-02-22,PE,39,Loja,Cartao,4
1164,Blusa Moletom,102.55,42.93,59.62,50164,cliente164@email.com,2026-02-12,2026-02-13,SC,43,Loja,Cartao,3
1165,Camiseta Basica,390.79,171.47,219.32,50165,cliente165@email.com,2026-02-04,2026-02-05,GO,41,Online,Cartao,2
1166,Bermuda,264.75,183.19,81.56,50166,cliente166@email.com,2026-03-22,2026-03-25,RS,39,Online,Cartao,2
1167,Tenis Corrida,284.74,180.46,104.28,50167,cliente167@email.com,2026-04-23,2026-04-23,RJ,G,Loja,Boleto,4
1168,Bermuda,271.79,117.98,153.81,50168,cliente168@email.com,2026-01-10,2026-01-11,RJ,P,Online,Cartao,4
1169,Blusa Moletom,149.33,97.3,52.03,50169,cliente169@email.com,2026-03-19,2026-03-20,SP,40,Online,Boleto,2
1170,Tenis Corrida,172.6,71.29,101.31,50170,cliente170@email.com,2026-04-03,2026-04-05,PR,M,Loja,Boleto,2
1171,Bermuda,264.33,108.12,156.21,50171,cliente171@email.com,2026-01-13,2026-01-18,PE,41,Online,Pix,2
1172,Tenis Corrida,332.51,136.9,195.61,50172,cliente172@email.com,2026-02-18,2026-02-19,GO,P,Loja,Pix,5
1173,Tenis Corrida,319.99,174.13,145.86,50173,cliente173@email.com,2026-04-28,2026-05-02,BA,P,Online,Pix,4
1174,Bermuda,304.28,163.96,140.32,50174,cliente174@email.com,2026-02-18,2026-02-18,SP,GG,Online,Boleto,3
1175,Tenis Esportivo,306.32,130.47,175.85,50175,cliente175@email.com,2026-04-20,2026-04-25,CE,41,Online,Pix,5
1176,Bermuda,137.29,92.32,44.97,50176,cliente176@email.com,2026-03-13,2026-03-16,MG,M,Online,Boleto,1
1177,Camiseta Basica,156.76,69.59,87.17,50177,cliente177@email.com,2026-03-23,2026-03-25,MG,M,Online,Boleto,2
1178,Bermuda,57.49,39.06,18.43,50178,cliente178@email.com,2026-01-01,2026-01-03,RS,GG,Loja,Cartao,5
1179,Tenis Casual,152.15,76.18,75.97,50179,cliente179@email.com,2026-04-18,2026-04-23,BA,39,Online,Cartao,5
1180,Tenis Casual,321.76,192.02,129.74,50180,cliente180@email.com,2026-04-19,2026-04-20,RJ,P,Online,Boleto,1
1181,Tenis Casual,148.85,68.21,80.64,50181,cliente181@email.com,2026-02-11,2026-02-15,PR,43,Online,Boleto,2
1182,Tenis Esportivo,132.04,54.61,77.43,50182,cliente182@email.com,2026-04-21,2026-04-25,SC,41,Online,Cartao,4
1183,Tenis Corrida,323.49,147.97,175.52,50183,cliente183@email.com,2026-01-11,2026-01-12,PE,GG,Online,Pix,3
1184,Calca Jeans,62.32,29.95,32.37,50184,cliente184@email.com,2026-03-30,2026-04-02,RS,39,Loja,Pix,3
1185,Camiseta Basica,202.92,105.25,97.67,50185,cliente185@email.com,2026-01-30,2026-01-31,RS,P,Loja,Pix,5
1186,Bermuda,304.36,162.12,142.24,50186,cliente186@email.com,2026-02-12,2026-02-12,RJ,38,Online,Boleto,2
1187,Tenis Esportivo,132.09,59.01,73.08,50187,cliente187@email.com,2026-03-19,2026-03-24,PE,G,Online,Pix,3
1188,Tenis Corrida,254.15,165.2,88.95,50188,cliente188@email.com,2026-03-02,2026-03-07,RS,40,Loja,Pix,4
1189,Bermuda,104.93,52.89,52.04,50189,cliente189@email.com,2026-03-21,2026-03-25,RS,38,Loja,Pix,1
1190,Tenis Corrida,60.62,36.47,24.15,50190,cliente190@email.com,2026-03-06,2026-03-07,SP,42,Loja,Cartao,4
1191,Bermuda,131.49,72.27,59.22,50191,cliente191@email.com,2026-02-21,2026-02-26,PE,G,Loja,Boleto,1
1192,Calca Jeans,254.05,125.25,128.8,50192,cliente192@email.com,2026-01-15,2026-01-15,MG,G,Loja,Pix,2
1193,Regata Esportiva,108.07,71.72,36.35,50193,cliente193@email.com,2026-04-25,2026-04-29,PE,M,Online,Cartao,1
1194,Tenis Esportivo,150.9,104.09,46.81,50194,cliente194@email.com,2026-01-09,2026-01-12,CE,43,Loja,Cartao,5
1195,Blusa Moletom,397.86,244.88,152.98,50195,cliente195@email.com,2026-01-04,2026-01-05,PR,39,Online,Boleto,5
1196,Regata Esportiva,97.85,46.1,51.75,50196,cliente196@email.com,2026-04-14,2026-04-14,PR,M,Online,Pix,1
1197,Tenis Corrida,75.12,32.98,42.14,50197,cliente197@email.com,2026-04-26,2026-04-26,GO,38,Online,Boleto,2
1198,Tenis Corrida,116.05,67.73,48.32,50198,cliente198@email.com,2026-03-12,2026-03-15,BA,39,Online,Cartao,5
1199,Calca Jeans,336.85,217.29,119.56,50199,cliente199@email.com,2026-03-16,2026-03-19,RJ,M,Online,Boleto,2
1200,Tenis Esportivo,317.24,205.68,111.56,50200,cliente200@email.com,2026-02-15,2026-02-17,SP,P,Online,Pix,1
1201,Tenis Esportivo,309.8,197.58,112.22,50201,cliente201@email.com,2026-02-04,2026-02-07,SP,41,Loja,Boleto,4
1202,Regata Esportiva,212.9,148.9,64.0,50202,cliente202@email.com,2026-03-19,2026-03-20,BA,41,Loja,Pix,2
1203,Camiseta Basica,378.04,202.97,175.07,50203,cliente203@email.com,2026-04-27,2026-04-28,SC,43,Online,Boleto,4
1204,Bermuda,193.73,78.11,115.62,50204,cliente204@email.com,2026-01-21,2026-01-22,RJ,39,Loja,Pix,4
1205,Regata Esportiva,338.28,173.93,164.35,50205,cliente205@email.com,2026-02-13,2026-02-17,BA,40,Loja,Boleto,4
1206,Tenis Corrida,275.35,169.77,105.58,50206,cliente206@email.com,2026-02-25,2026-02-25,BA,43,Online,Boleto,3
1207,Tenis Esportivo,227.15,120.59,106.56,50207,cliente207@email.com,2026-01-22,2026-01-23,BA,38,Online,Cartao,3
1208,Camiseta Basica,305.56,149.81,155.75,50208,cliente208@email.com,2026-04-11,2026-04-13,MG,42,Online,Pix,2
1209,Tenis Esportivo,58.73,39.09,19.64,50209,cliente209@email.com,2026-02-03,2026-02-05,RJ,38,Loja,Boleto,2
1210,Blusa Moletom,375.88,171.68,204.2,50210,cliente210@email.com,2026-03-06,2026-03-08,RS,43,Loja,Cartao,1
1211,Tenis Corrida,175.29,80.13,95.16,50211,cliente211@email.com,2026-04-11,2026-04-13,MG,43,Loja,Pix,1
1212,Tenis Casual,251.75,106.07,145.68,50212,cliente212@email.com,2026-03-17,2026-03-21,RS,42,Loja,Boleto,2
